time,velocity,altitude,velocity_y,velocity_x,acceleration,downrange_distance,angle,q,thrust,mass
0,0.277,0,-0.155,0,10.71,0,90,0.04699648,7607000,549000
1,1.913,0.001,2.292,0,11.309,0,90,2.242233043,7607000,546250
2,3.241,0.004,4.738,0,11.983,0,90,6.432509043,7607000,543500
3,6.529,0.009,7.487,0,12.741,0,90,26.08868708,7607000,540750
4,10.555,0.017,10.835,0,13.364,0,90,68.12541854,7607000,538000
5,14.354,0.03,14.597,0,13.753,0,90,125.8425765,7607000,535250
6,18.521,0.046,18.628,0,13.902,0,90,209.1812381,7607000,532500
7,22.777,0.067,22.77,0,13.993,0,90,315.7317457,7607000,529750
8,26.809,0.091,27.01,0,14.064,0,90,436.36885,7607000,527000
9,31.205,0.12,31.319,0,14.124,0,90,589.5636949,7607000,524250
10,35.555,0.154,35.686,0,14.176,0,90,762.9264355,7607000,521500
11,40.277,0.192,40.133,0,14.217,0,90,975.457815,7607000,518750
12,44.444,0.234,44.654,0,14.279,0,90,1182.894086,7607000,516000
13,48.888,0.281,49.24,0,14.362,0,90,1424.843258,7607000,513250
14,54.166,0.332,53.907,0,14.496,0,90,1740.414863,7607000,510500
15,58.333,0.389,58.685,0,14.656,0,90,2007.536345,7607000,507750
16,63.333,0.449,63.555,0,14.841,0,90,2352.525692,7607000,505000
17,68.611,0.515,68.518,0,14.995,0,90,2743.347936,7607000,502250
18,73.333,0.586,73.574,0,15.087,0,90,3112.404237,7607000,499500
19,78.611,0.662,78.731,0,15.118,0,90,3550.184746,7607000,496750
20,83.888,0.744,83.954,0,15.118,0,90,4010.900043,7607000,494000
21,89.166,0.83,89.232,0,15.118,0,90,4493.326003,7607000,491250
22,94.585,0.922,94.556,0,15.134,0,90,5010.803059,7607000,488500
23,99.863,1.019,99.936,0,15.164,0,90,5532.578699,7607000,485750
24,105.277,1.122,105.4,0,15.21,0,90,6086.979747,7607000,483000
25,110.559,1.23,110.955,0,15.287,0,90,6642.065733,7607000,480250
26,116.529,1.343,116.585,-0.146,15.394,0,90,7296.361185,7607000,477500
27,122.5,1.463,122.335,-0.317,15.548,0,90,7968.261864,7607000,474750
28,127.918,1.588,128.186,-0.485,15.671,-0.001,90,8581.224333,7607000,472000
29,133.752,1.719,134.121,-0.465,15.777,-0.001,90,9260.125537,7607000,469250
30,140.277,1.856,140.139,-0.434,15.87,-0.002,90,10047.06117,7607000,466500
31,146.111,1.999,146.287,-0.178,16.008,-0.002,90,10744.60135,7607000,463750
32,152.222,2.148,152.555,0.573,16.162,-0.002,89.732,11488.27637,7607000,461000
33,158.888,2.304,158.916,2.098,16.284,0,89.302,12321.22025,7607000,458250
34,165.277,2.466,165.361,4.431,16.359,0.003,88.872,13114.57983,7607000,455500
35,171.805,2.634,171.937,7.683,16.401,0.009,88.165,13929.80955,7607000,452750
36,178.472,2.809,178.222,12.152,16.44,0.019,87.116,14765.01676,7607000,450000
37,185,2.991,184.461,17.921,16.519,0.034,85.991,15571.46826,7607000,447250
38,192.5,3.18,190.831,24.671,16.638,0.055,84.665,16534.42856,7607000,444500
39,199.722,3.375,197.201,31.911,16.796,0.083,83.08,17442.12432,7607000,441750
40,206.388,3.577,203.051,39.098,16.886,0.119,81.565,18238.69701,7607000,439000
41,213.611,3.789,208.55,46.049,16.88,0.162,80.26,19107.74957,7607000,436250
42,221.111,4,213.74,52.344,16.782,0.211,79.004,20023.40916,7607000,433500
43,228.888,4.217,218.841,57.733,16.626,0.266,78.084,20970.80246,7607000,430750
