rocket,s1,s2,N1,N2,actual_k1,predicted_k1,error,abs_error
amur,15.0,20.0,1.40991423491709,1.5932978696065583,1.7,1.728996509018183,0.02899650901818296,0.02899650901818296
falcon,18.0,25.0,1.3680896813629748,0.7121089785963219,1.17,1.1728483548069224,0.0028483548069224707,0.0028483548069224707
cz2c,19.9,17.6,1.5193239423811151,1.371243604228111,2.71,2.1231806489061134,-0.5868193510938866,0.5868193510938866
fireflyalpha,16.0,13.0,1.389360818514743,1.1909616038056405,1.7,2.2551175134154033,0.5551175134154034,0.5551175134154034
electron,20.0,25.0,1.2851176239603042,0.8462677668147636,0.75,1.4487929651057079,0.6987929651057079,0.6987929651057079
antares,12.7,15.6,1.348400055282999,1.0457432475781099,1.32,1.8771538302540107,0.5571538302540107,0.5571538302540107
zenit,13.0,11.0,1.612074841750763,0.8893408924968824,3.3,2.4439555661797985,-0.8560444338202013,0.8560444338202013
titan2,14.0,12.0,1.5080688848667574,1.5956400870845528,2.7,2.0197529358189694,-0.6802470641810308,0.6802470641810308
isa,15.0,12.0,1.529051987767584,1.2742099898063202,3.1,2.3497637688766244,-0.7502362311233757,0.7502362311233757
angara12,13.5,10.64,1.1682917592881323,1.0452961672473868,0.3,0.2894534310556319,-0.010546568944368062,0.010546568944368062
blackarrow,15.2,12.8,1.080330909632311,0.9533143741598247,0.32,0.29995736552561975,-0.02004263447438026,0.02004263447438026
starship,18.0,12.0,1.5260361061349064,1.0401714202500572,2.7,1.9758100045654885,-0.7241899954345117,0.7241899954345117
soyuz21v,12.0,10.0,1.0841541498384346,1.063499608241471,0.2,0.31625261131089066,0.11625261131089065,0.11625261131089065
cyclone2,19.0,13.8,1.5306173919184096,1.780390026633877,2.7,2.344214751742293,-0.3557852482577073,0.3557852482577073
terran1,12.1,9.5,1.3675035884931315,0.9842173714366058,1.17,1.628519474162612,0.45851947416261196,0.45851947416261196
soyuz5,12.5,11.0,1.5060587247936355,1.0515585600085842,2.75,2.5079483498478,-0.2420516501522001,0.2420516501522001
cosmos3m,16.0,12.5,1.1224501483237697,0.6770142134518108,0.27,0.3177246323358059,0.04772463233580587,0.04772463233580587
kinetika2,13.0,11.5,1.1477441707280915,0.9249820666742176,0.33,0.2751948536224557,-0.0548051463775443,0.0548051463775443
stalker,14.0,12.0,1.397707165479607,1.6431603450636725,1.5,2.5833628670886064,1.0833628670886064,1.0833628670886064
vectorr,18.0,15.0,1.2923841418003879,1.252465792028055,0.95,2.263796252905087,1.3137962529050868,1.3137962529050868
