rocket,s1,N1,actual_k1,predicted_k1,error,abs_error
amur,15.0,1.40991423491709,1.7,1.8385385839037791,0.13853858390377916,0.13853858390377916
falcon,18.0,1.3680896813629748,1.17,1.111601000706933,-0.05839899929306691,0.05839899929306691
cz2c,19.9,1.5193239423811151,2.71,2.4349787165345456,-0.2750212834654544,0.2750212834654544
fireflyalpha,16.0,1.389360818514743,1.7,1.5141170236333588,-0.1858829763666412,0.1858829763666412
electron,20.0,1.2851176239603042,0.75,1.4499256818054802,0.6999256818054802,0.6999256818054802
antares,12.7,1.348400055282999,1.32,1.5068726118046312,0.1868726118046311,0.1868726118046311
zenit,13.0,1.612074841750763,3.3,2.8316873195284464,-0.4683126804715534,0.4683126804715534
titan2,14.0,1.5080688848667574,2.7,2.5799647027693147,-0.12003529723068551,0.12003529723068551
isa,15.0,1.529051987767584,3.1,2.1582318412294876,-0.9417681587705125,0.9417681587705125
angara12,13.5,1.1682917592881323,0.3,0.3037032901211304,0.0037032901211304092,0.0037032901211304092
blackarrow,15.2,1.080330909632311,0.32,0.29111560514971674,-0.028884394850283268,0.028884394850283268
starship,18.0,1.5260361061349064,2.7,2.3856423123128025,-0.31435768768719763,0.31435768768719763
soyuz21v,12.0,1.0841541498384346,0.2,0.31806509898148483,0.11806509898148482,0.11806509898148482
cyclone2,19.0,1.5306173919184096,2.7,2.4747173404147373,-0.22528265958526283,0.22528265958526283
terran1,12.1,1.3675035884931315,1.17,1.6260069996773399,0.45600699967733993,0.45600699967733993
soyuz5,12.5,1.5060587247936355,2.75,2.495622113517129,-0.25437788648287096,0.25437788648287096
cosmos3m,16.0,1.1224501483237697,0.27,0.3173631832428925,0.04736318324289246,0.04736318324289246
kinetika2,13.0,1.1477441707280915,0.33,0.2778132130984711,-0.05218678690152889,0.05218678690152889
stalker,14.0,1.397707165479607,1.5,1.845538215833819,0.34553821583381894,0.34553821583381894
vectorr,18.0,1.2923841418003879,0.95,1.171169719931048,0.22116971993104806,0.22116971993104806
