length,form_1,form_2,form_3,difform_1,difform_2,difform_3
0,1.0,1.0,1.0,-0.04929272011061647,-0.09981303842011269,-0.15805462070530718
1,0.9507072798893835,0.9001869615798873,0.8419453792946928,-0.04929272011061647,-0.09981303842011269,-0.15805462070530718
2,0.9014358689881957,0.8005361933194046,0.6844899853562031,-0.049271410901187807,-0.09965076826048269,-0.15745539393848973
3,0.852213594281276,0.7012546591380093,0.5283777713773182,-0.049222274706919755,-0.09928153418139529,-0.15611221397888486
4,0.8030813186595559,0.6026387310990219,0.3746424272300899,-0.04913227562172007,-0.09861592803898744,-0.15373534414722834
5,0.7540922294183898,0.5050631168346316,0.22454161547756168,-0.04898908924116607,-0.09757561426439032,-0.1501008117525282
6,0.7053111281464584,0.40896986570351357,0.07949225922525564,-0.04878110127193147,-0.096093251131118,-0.14504935625230603
7,0.656813722769248,0.31485749492665777,-0.058992600349431545,-0.04849740537721037,-0.0941123707768558,-0.1384848595746872
8,0.6086859226790788,0.22327028447655867,-0.18936479131402043,-0.04812780009016915,-0.0915872104500991,-0.13037219096458888
9,0.5610231380413814,0.13478779581236772,-0.31009921659198325,-0.047662784637697464,-0.08848248866419095,-0.12073442527796283
10,0.5139295845144864,0.050014674678211093,-0.4197486358821996,-0.04709355352689493,-0.08477312113415662,-0.10964941929021638
11,0.4675172033209082,-0.03042899956192051,-0.5169817475878348,-0.04641238119357827,-0.0804436742401316,-0.09723311170563514
12,0.4219034534868541,-0.10591586630487049,-0.6005766346213279,-0.045613749834054085,-0.07548686674294998,-0.08359488703349316
13,0.37720845799428837,-0.17581654851943854,-0.6693745767140035,-0.044694995492565726,-0.06990068221456805,-0.06879794209267553
14,0.3335530971814306,-0.23950171203337067,-0.7222389556274675,-0.04365536081285776,-0.06368516351393214,-0.05286437891346407
15,0.2910583947838334,-0.2963422566381214,-0.7580388271543166,-0.04249470239759723,-0.05684054460475074,-0.03579987152684905
16,0.24984540260951038,-0.34570913667638586,-0.7756444144095507,-0.041212992174323004,-0.04936688003826445,-0.01760558725523409
17,0.21003517246647452,-0.3869733064908592,-0.7739259405081733,-0.03981023014303586,-0.04126416981447334,0.0017184739013773598
18,0.17175086369059545,-0.41954550147568714,-0.752023248871084,-0.03828430877587907,-0.03257219498482794,0.021902691637089355
19,0.13512406572916755,-0.44299558123082083,-0.7101546641427825,-0.0366267979614279,-0.02345007975513369,0.04186858472830146
20,0.10029901319662267,-0.4571320916649171,-0.6501562328031643,-0.03482505253254488,-0.01413651043409625,0.05999843133961824
21,0.06742837081881797,-0.4619227028924366,-0.574942482555724,-0.032870642377804696,-0.004790611227519503,0.07521375024744026
22,0.03666691084946654,-0.4573748660792934,-0.4876975614098543,-0.03076145996935143,0.004547836813143191,0.08724492114586968
23,0.00816945708697511,-0.4435176517087608,-0.3916778226789392,-0.028497453762491434,0.013857214370532611,0.09601973873091513
24,-0.017908998336561455,-0.4204734719595857,-0.29044637362217435,-0.026078455423536564,0.02304417974917511,0.10123144905676484
25,-0.04141330815677522,-0.38852211232751627,-0.18807164985222233,-0.023504309820213766,0.03195135963206941,0.10237472376995202
26,-0.06218836116108298,-0.34807199987906495,-0.0890201400548071,-0.020775053004307757,0.040450112448451314,0.09905150979741523
27,-0.08008078498528752,-0.2996289679379176,0.002096082029639214,-0.017892423824204542,0.04844303194114735,0.09111622208444631
28,-0.0949456086966137,-0.24393103288876886,0.08069674817471788,-0.014864823711326178,0.055697935049148745,0.07860066614507866
29,-0.10665727122594885,-0.18217497464818905,0.1424806076091377,-0.011711662529335157,0.06175605824057981,0.061783859434419816
