L,D,Class,Stage
1.2,0,Head,Payload
1.0,1.0,Head,Payload
0.3,1.0,Construction,Fourth
1.0,1.0,Fuel,Fourth
1.0,1.0,Oxidizer,Fourth
0.3,1.0,Construction,Fourth
0.2,1.0,Tail,Fourth
0.3,1.0,Construction,Third
1.5,1.0,Fuel,Third
1.5,1.0,Oxidizer,Third
0.5,1.0,Construction,Third
0.3,1.0,Tail,Third
0.4,1.0,Construction,Second
2.5,1.0,Fuel,Second
2.5,1.0,Oxidizer,Second
0.6,1.0,Construction,Second
0.4,1.0,Tail,Second
0.5,1.0,Construction,First
4.0,1.0,Fuel,First
4.0,1.0,Oxidizer,First
0.8,1.0,Construction,First
0.5,1.0,Tail,First
