L,D,Class,Stage
2.0,0,Head,Payload
1.5,1.6,Head,Payload
0.4,1.6,Construction,Fourth
1.8,1.6,Fuel,Fourth
1.8,1.6,Oxidizer,Fourth
0.5,1.6,Construction,Fourth
0.3,1.6,Tail,Fourth
0.5,1.6,Construction,Third
2.5,1.6,Fuel,Third
2.5,1.6,Oxidizer,Third
0.8,1.6,Construction,Third
0.5,1.6,Tail,Third
0.6,1.6,Construction,Second
3.5,1.6,Fuel,Second
3.5,1.6,Oxidizer,Second
1.0,1.6,Construction,Second
0.6,1.6,Tail,Second
0.8,1.6,Construction,First
6.0,1.6,Fuel,First
6.0,1.6,Oxidizer,First
1.2,1.6,Construction,First
0.8,1.6,Tail,First
