L,D,Class,Stage
4.5,3.0,Head,Payload      // Головной обтекатель
1.0,3.0,Construction,Third // Переходник
1.5,3.0,Fuel,Third         // Бак горючего третьей ступени (НДМГ)
2.0,3.0,Oxidizer,Third     // Бак окислителя третьей ступени (АТ)
0.8,3.0,Construction,Third // Приборный отсек третьей ступени
0.7,3.0,Tail,Third         // Хвостовой отсек третьей ступени (РД-864)
0.8,3.0,Construction,Second // Межступенчатый переходник
3.0,3.0,Fuel,Second        // Бак горючего второй ступени (НДМГ)
4.0,3.0,Oxidizer,Second    // Бак окислителя второй ступени (АТ)
1.2,3.0,Construction,Second // Приборный отсек второй ступени
0.8,3.0,Tail,Second        // Хвостовой отсек второй ступени (РД-0255)
0.8,3.0,Construction,First  // Межступенчатый переходник
9.0,3.0,Fuel,First         // Бак горючего первой ступени (НДМГ)
4.0,3.0,Oxidizer,First     // Бак окислителя первой ступени (АТ)
1.2,3.0,Construction,First  // Приборный отсек первой ступени
1.0,3.0,Tail,First         // Хвостовой отсек первой ступени (РД-264)
