L,D,Class,Stage
8.0,4.35,Head,Payload
1.5,4.1,Construction,Third  // Переходник
4.0,4.1,Fuel,Third          // Бак горючего третьей ступени
4.5,4.1,Oxidizer,Third      // Бак окислителя третьей ступени
1.5,4.1,Construction,Third  // Приборный отсек третьей ступени
1.0,4.1,Tail,Third          // Хвостовой отсек третьей ступени (РД-0213 + РД-0214)
1.0,4.1,Construction,Second // Межступенчатый переходник
6.0,4.1,Fuel,Second         // Бак горючего второй ступени
8.0,4.1,Oxidizer,Second     // Бак окислителя второй ступени
2.0,4.1,Construction,Second // Приборный отсек второй ступени
1.0,4.1,Tail,Second         // Хвостовой отсек второй ступени (РД-0210)
1.0,7.4,Construction,First  // Межступенчатый переходник
8.0,7.4,Fuel,First          // Бак горючего первой ступени (6 боковых баков)
10.0,7.4,Oxidizer,First     // Бак окислителя первой ступени (центральный бак)
1.5,7.4,Construction,First  // Приборный отсек первой ступени
1.2,7.4,Tail,First          // Хвостовой отсек первой ступени (6x РД-276)
