L,D,Class,Stage
2.5,0,Head,Payload
2.0,1.9,Head,Payload
0.5,1.9,Construction,Fourth
2.0,1.9,Fuel,Fourth
2.0,1.9,Oxidizer,Fourth
0.6,1.9,Construction,Fourth
0.4,1.9,Tail,Fourth
0.6,1.9,Construction,Third
3.0,1.9,Fuel,Third
3.0,1.9,Oxidizer,Third
0.8,1.9,Construction,Third
0.5,1.9,Tail,Third
0.7,1.9,Construction,Second
4.5,1.9,Fuel,Second
4.5,1.9,Oxidizer,Second
1.0,1.9,Construction,Second
0.6,1.9,Tail,Second
0.9,1.9,Construction,First
7.0,1.9,Fuel,First
7.0,1.9,Oxidizer,First
1.5,1.9,Construction,First
0.9,1.9,Tail,First
